# SHSynth 球谐综合结果  系数=shkit_coeffs.sh  nmax=12  高斯平滑=0 km  物理量=unknown
# shsynth_meta {"source_coeffs": "shkit_coeffs.sh", "source_coeffs_path": "D:\\华为家庭存储\\1_Joe Science Data\\1_1_GRACE\\1_data\\2_Level-2\\SHKit\\shkit_coeffs.sh", "nmax": 12, "coeff_nmax": 12, "ntime": 1, "time_index": 0, "field_unit_in": "unknown", "field_unit_out": "unknown", "gaussian_km": 0.0, "gaussian_method": null, "units": null, "producer": "SHSynth"}
lat,lon,value
5.5,79.5,-2.465584661
5.5,80,-2.449906634
5.5,80.5,-2.434057107
5.5,81,-2.418050185
5.5,81.5,-2.401898632
5.5,82,-2.385613811
5.5,82.5,-2.369205648
5.5,83,-2.3526826
5.5,83.5,-2.336051645
5.5,84,-2.319318279
5.5,84.5,-2.302486524
5.5,85,-2.285558956
5.5,85.5,-2.268536739
5.5,86,-2.251419666
5.5,86.5,-2.234206221
5.5,87,-2.216893638
5.5,87.5,-2.19947798
5.5,88,-2.181954217
5.5,88.5,-2.164316315
5.5,89,-2.146557334
5.5,89.5,-2.128669527
5.5,90,-2.110644445
5.5,90.5,-2.092473048
5.5,91,-2.074145818
5.5,91.5,-2.055652872
5.5,92,-2.036984083
5.5,92.5,-2.018129197
5.5,93,-1.999077952
5.5,93.5,-1.979820194
5.5,94,-1.960346
5.5,94.5,-1.940645791
5.5,95,-1.920710446
5.5,95.5,-1.900531418
5.5,96,-1.880100836
5.5,96.5,-1.859411616
5.5,97,-1.83845756
5.5,97.5,-1.817233451
5.5,98,-1.795735145
5.5,98.5,-1.773959659
5.5,99,-1.751905247
5.5,99.5,-1.729571477
5.5,100,-1.706959295
5.5,100.5,-1.684071085
5.5,101,-1.660910722
5.5,101.5,-1.637483616
5.5,102,-1.613796747
5.5,102.5,-1.58985869
5.5,103,-1.565679639
5.5,103.5,-1.541271408
5.5,104,-1.516647437
5.5,104.5,-1.491822779
5.5,105,-1.466814077
5.5,105.5,-1.441639539
5.5,106,-1.416318892
5.5,106.5,-1.39087333
5.5,107,-1.365325458
5.5,107.5,-1.339699213
5.5,108,-1.314019783
5.5,108.5,-1.288313516
5.5,109,-1.262607813
5.5,109.5,-1.236931016
5.5,110,-1.211312286
5.5,110.5,-1.185781468
5.5,111,-1.160368953
5.5,111.5,-1.135105527
5.5,112,-1.110022217
5.5,112.5,-1.085150123
5.5,113,-1.060520254
5.5,113.5,-1.03616335
5.5,114,-1.012109705
5.5,114.5,-0.9883889878
5.5,115,-0.9650300542
5.5,115.5,-0.9420607666
5.5,116,-0.9195078094
5.5,116.5,-0.8973965068
5.5,117,-0.8757506446
5.5,117.5,-0.8545922959
5.5,118,-0.833941652
5.5,118.5,-0.8138168619
5.5,119,-0.7942338786
5.5,119.5,-0.7752063163
5.5,120,-0.7567453187
5.5,120.5,-0.738859439
5.5,121,-0.7215545345
5.5,121.5,-0.7048336749
5.5,122,-0.6886970675
5.5,122.5,-0.673141998
5.5,123,-0.6581627902
5.5,123.5,-0.6437507831
5.5,124,-0.6298943269
5.5,124.5,-0.6165787996
5.5,125,-0.6037866416
5.5,125.5,-0.5914974119
5.5,126,-0.579687863
5.5,126.5,-0.5683320359
5.5,127,-0.5574013747
5.5,127.5,-0.5468648601
5.5,128,-0.5366891603
