# SHSynth 球谐综合结果  系数=shkit_coeffs.gfc  nmax=12  高斯平滑=0 km  物理量=geopotential
lon,lat,value
291.246118,88.85406531,0.3119284307
153.7383539,88.01511672,0.3393478847
16.23058987,87.43744127,0.229029815
238.7228258,86.9678385,0.3948364067
101.2150618,86.56173736,0.2620131351
323.7072977,86.19873083,0.2523789557
186.1995337,85.86744687,0.4305008565
48.69176962,85.56077773,0.1771435316
271.1840056,85.27392928,0.3743470268
133.6762415,85.00348666,0.3252449696
356.1684775,84.74691539,0.170401023
218.6607134,84.50227305,0.4931315601
81.15294937,84.26803203,0.1807665481
303.6451853,84.04296521,0.275944161
166.1374213,83.82606917,0.4408679563
28.62965722,83.61651098,0.1203548507
251.1218932,83.41359019,0.4680937761
113.6141291,83.21671109,0.2467374549
336.1063651,83.02536204,0.1644720636
198.598601,82.83909969,0.5471139696
61.09083697,82.65753692,0.1117536159
283.5830729,82.48033329,0.3503131496
146.0753089,82.30718755,0.3809493556
8.567544824,82.13783159,0.09201300743
231.0597808,81.97202556,0.565639494
93.55201672,81.80955386,0.1544403867
316.0442527,81.65022184,0.1996592792
178.5364886,81.49385305,0.5399655
41.02872457,81.34028696,0.06573336202
263.5209605,81.18937703,0.4616090916
126.0131965,81.04098901,0.2757957976
348.5054324,80.8949996,0.08838723595
210.9976684,80.75129521,0.6323976241
73.48990432,80.60977092,0.07857890661
295.9821403,80.47032959,0.2806744843
158.4743762,80.33288109,0.4660630346
20.96661217,80.19734158,0.03933693365
243.4588481,80.06363293,0.5849275531
105.9510841,79.9316822,0.1592341536
328.44332,79.80142114,0.1167769019
190.935556,79.67278582,0.6385430641
53.42779192,79.54571621,0.03029217177
275.9200279,79.4201559,0.4056460229
138.4122638,79.29605177,0.3402253998
0.9044997733,79.17335373,0.02917578358
223.3967357,79.05201451,0.6839558719
85.88897167,78.93198941,0.06365748054
308.3812076,78.81323612,0.1901795565
170.8734436,78.69571456,0.5702795317
33.36567952,78.5793867,0.003169267611
255.8579155,78.46421642,0.5556190978
118.3501514,78.35016938,0.1949951535
340.8423874,78.23721291,0.04269433671
203.3346233,78.12531589,0.7228009086
65.82685927,78.01444863,0.004817787092
288.3190952,77.90458281,0.3156943769
150.8113312,77.79569139,0.4358216756
13.30356712,77.68774849,-0.0125363815
235.7958031,77.5807294,0.6941104489
98.28803902,77.47461042,0.06889849514
320.780275,77.36936886,0.09705489882
183.2725109,77.26498297,0.6794569729
45.76474687,77.16143186,-0.02419463425
268.2569828,77.0586955,0.4828104512
130.7492188,76.95675462,0.2651905831
353.2414547,76.85559072,-0.01444460632
215.7336907,76.75518599,0.7786869331
78.22592662,76.65552329,-0.01198252294
300.7181626,76.5565861,0.2080645506
163.2103985,76.45835853,0.5536836508
25.70263447,76.36082523,-0.0409957665
248.1948704,76.26397142,0.6584203645
110.6871064,76.16778282,0.1020009773
333.1793423,76.07224563,0.0151580185
195.6715783,75.97734655,0.7775149565
58.16381422,75.88307269,-0.04843329551
280.6560502,75.78941161,0.3764396736
143.1482861,75.69635128,0.3693538013
5.640522072,75.60388003,-0.05305866371
228.132758,75.51198658,0.7948728417
90.62499397,75.42066,-0.01436715983
313.1172299,75.3298897,0.09931943832
175.6094659,75.23966542,0.6799501532
38.10170182,75.14997719,-0.06323492883
260.5939378,75.06081537,0.5778719724
123.0861737,74.97217057,0.1706782829
345.5784097,74.88403369,-0.04719726029
208.0706456,74.79639591,0.849060153
70.56288157,74.70924862,-0.07038390786
293.0551175,74.6225835,0.2511238731
155.5473535,74.53639243,0.5002709884
18.03958942,74.45066752,-0.07713264583
240.5318254,74.3654011,0.7642327341
103.0240613,74.28058571,0.00844032134
325.5162973,74.19621407,0.003564305576
188.0085332,74.11227913,0.7981265277
50.50076917,74.02877398,-0.08595933745
272.9930051,73.94569193,0.4599895573
135.4852411,73.86302642,0.277544773
357.977477,73.78077109,-0.0878616277
220.469713,73.69891972,0.8813594988
82.96194892,73.61746626,-0.08397597281
305.4541849,73.5364048,0.1236638743
167.9464208,73.45572956,0.6445325181
30.43865677,73.37543494,-0.09434876271
252.9308927,73.29551542,0.6850574204
115.4231287,73.21596565,0.06772324478
337.9153646,73.1367804,-0.06992280718
200.4076006,73.05795455,0.8919351579
62.89983652,72.9794831,-0.1118676409
285.3920725,72.90136117,0.3185720251
147.8843084,72.82358398,0.4173133403
10.37654437,72.74614688,-0.1104743306
232.8687803,72.6690453,0.8654389831
95.36101627,72.59227478,-0.07678156067
317.8532522,72.51583095,0.009459703566
180.3454882,72.43970954,0.7851718881
42.83772412,72.36390638,-0.1132407821
265.3299601,72.28841737,0.5624397692
127.822196,72.21323852,0.1697246885
350.314432,72.1383659,-0.117850647
212.8066679,72.06379568,0.9474626008
75.29890387,71.98952409,-0.1364546345
297.7911398,71.91554745,0.1712460336
160.2833758,71.84186216,0.5772287708
22.77561172,71.76846468,-0.1231314974
245.2678477,71.69535154,0.7970323444
107.7600836,71.62251934,-0.03407539968
330.2523196,71.54996476,-0.08050480736
192.7445555,71.47768454,0.9048288058
55.23679147,71.40567546,-0.1394250748
277.7290274,71.33393438,0.4089202893
140.2212634,71.26245823,0.31188606
2.71349932,71.19124398,-0.1429368154
225.2057353,71.12028867,0.9541815301
87.69797122,71.04958938,-0.1471357946
310.1902072,70.97914325,0.03539267449
172.6824431,70.90894749,0.7398551198
35.17467907,70.83899932,-0.1360459915
257.666915,70.76929606,0.6782102244
120.159151,70.69983504,0.05486447505
342.6513869,70.63061365,-0.1411942804
205.1436229,70.56162934,0.9882515405
67.63585882,70.49287957,-0.171566965
290.1280948,70.42436189,0.2427769918
152.6203307,70.35607385,0.4826804968
15.11256667,70.28801306,-0.1530369522
237.6048026,70.22017719,0.9054726211
100.0970386,70.15256391,-0.1263509489
322.5892745,70.08517096,-0.07562646038
185.0815105,70.01799611,0.8865573332
47.57374642,69.95103716,-0.1580523909
270.0659824,69.88429195,0.5191392587
132.5582183,69.81775835,0.1914556948
355.0504543,69.75143429,-0.1737798196
217.5426902,69.6853177,1.023487318
80.03492617,69.61940656,-0.1988592368
302.5271621,69.55369888,0.08373935184
165.0193981,69.48819271,0.6644535815
27.51163402,69.42288611,-0.1593700275
250.00387,69.3577772,0.7999885806
112.4961059,69.29286409,-0.0582912602
334.9883419,69.22814495,-0.154478289
197.4805778,69.16361798,1.000443575
59.97281377,69.09928139,-0.1921441883
282.4650497,69.03513342,0.3377881804
144.9572857,68.97117235,0.3664162478
7.449521619,68.90739647,-0.1851070987
229.9417576,68.8438041,1.001998362
92.43399352,68.78039359,-0.2024055661
314.9262295,68.71716332,-0.05179325277
177.4184654,68.65411167,0.8372821988
39.91070137,68.59123707,-0.1735792845
262.4029373,68.52853796,0.6442176099
124.8951733,68.4660128,0.06393547499
347.3874092,68.40366009,-0.200245117
209.8796452,68.34147832,1.068013825
72.37188112,68.27946602,-0.2313857484
294.8641171,68.21762176,0.1560727036
157.356353,68.15594409,0.5624178103
19.84858897,68.0944316,-0.1864585604
242.3408249,68.03308291,0.9192154659
104.8330609,67.97189665,-0.1615010739
327.3252968,67.91087146,-0.1536169314
189.8175328,67.850006,0.9823667102
52.30976872,67.78929897,-0.2033825958
274.8020047,67.72874906,0.4541106525
137.2942406,67.66835499,0.2348318032
359.7864766,67.6081155,-0.2180488293
222.2787125,67.54802935,1.07922657
84.77094847,67.48809529,-0.2579329011
307.2631844,67.42831212,-0.005982537548
169.7554204,67.36867864,0.7584517419
32.24765632,67.30919367,-0.1913178597
254.7398923,67.24985604,0.7770717737
117.2321282,67.19066459,-0.06245012454
339.7243642,67.13161818,-0.2182876699
202.2166001,67.07271571,1.084291146
64.70883607,67.01395604,-0.2474202536
287.201072,66.9553381,0.2527395105
149.693308,66.89686079,0.4383404517
12.18554392,66.83852306,-0.2182435195
234.6777799,66.78032384,1.027059684
97.17001582,66.7222621,-0.2476228338
319.6622518,66.6643368,-0.1345863494
182.1544877,66.60654693,0.9337364009
44.64672367,66.54889149,-0.2116319935
267.1389596,66.49136948,0.5874358283
129.6311956,66.43397992,0.09506616409
352.1234315,66.37672185,-0.2486579458
214.6156675,66.31959431,1.131567467
77.10790342,66.26259635,-0.2917417753
299.6001394,66.20572705,0.06396433462
162.0923753,66.14898547,0.6527676109
24.58461127,66.09237071,-0.2148916441
247.0768472,66.03588186,0.9089649782
109.5690832,65.97951804,-0.1794570615
332.0613191,65.92327836,-0.2233325475
194.5535551,65.86716195,1.070527715
57.04579102,65.81116795,-0.2524018243
279.538027,65.75529551,0.3724402724
142.0302629,65.69954379,0.297823245
4.522498867,65.64391196,-0.2532841395
227.0147348,65.5883992,1.115621475
89.50697077,65.53300469,-0.3114939439
311.9992067,65.47772763,-0.09394406474
174.4914427,65.42256722,0.8554934868
36.98367862,65.36752268,-0.2229318422
259.4759146,65.31259323,0.7310828106
121.9681505,65.25777811,-0.04513219647
344.4603865,65.20307654,-0.2724684801
206.9526224,65.14848778,1.155482767
69.44485837,65.09401108,-0.3061249484
291.9370943,65.03964571,0.1590741475
154.4293303,64.98539094,0.5241246976
16.92156622,64.93124605,-0.2455235123
239.4138022,64.87721033,1.03051105
101.9060381,64.82328306,-0.2793817779
324.3982741,64.76946356,-0.2109576457
186.89051,64.71575112,1.026249646
49.38274597,64.66214508,-0.253335841
271.8749819,64.60864475,0.511733289
134.3672179,64.55524945,0.1473145767
356.8594538,64.50195854,-0.2881364702
219.3516898,64.44877136,1.178920013
81.84392572,64.39568725,-0.3509076839
304.3361617,64.34270557,-0.02911725403
166.8283976,64.28982569,0.7497687507
29.32063357,64.23704698,-0.2416709646
251.8128695,64.18436881,0.8762486932
114.3051055,64.13179057,-0.1775839032
336.7973414,64.07931165,-0.2844924419
199.2895774,64.02693144,1.149212571
61.78181332,63.97464935,-0.3065611185
284.2740493,63.92246478,0.2789126505
146.7662852,63.87037714,0.3774619724
9.258521165,63.81838586,-0.2818861251
231.7507571,63.76649036,1.133054155
94.24299307,63.71469007,-0.3559849783
316.735229,63.66298443,-0.1773958064
179.227465,63.61137287,0.9520581045
41.71970092,63.55985484,-0.2572369229
264.2119369,63.5084298,0.6646022164
126.7041728,63.4570972,-0.005983766247
349.1964088,63.40585651,-0.3179968325
211.6886447,63.35470718,1.213274784
74.18088066,63.3036487,-0.3673147245
296.6731166,63.25268055,0.06145721608
159.1653526,63.20180219,0.6198672859
21.65758851,63.15101313,-0.2697022871
244.1498245,63.10031285,1.012949164
106.6420604,63.04970085,-0.2940875394
329.1342964,62.99917663,-0.2799258327
191.6265323,62.94873969,1.112266403
54.11876826,62.89838955,-0.3006552917
276.6110042,62.84812573,0.4210611477
139.1032402,62.79794773,0.218575068
1.595476114,62.74785509,-0.3204416767
224.0877121,62.69784733,1.20993272
86.57994801,62.64792398,-0.4056716939
309.072184,62.59808458,-0.1197817107
171.5644199,62.54832867,0.8496031706
34.05665586,62.4986558,-0.269590009
256.5488918,62.44906551,0.82243499
119.0411278,62.39955736,-0.1541487912
341.5333637,62.3501309,-0.3374684298
204.0255997,62.30078569,1.217005099
66.51783561,62.2515213,-0.3658481977
289.0100716,62.20233729,0.1781367321
151.5023075,62.15323324,0.4701450441
13.99454346,62.10420872,-0.3060705728
236.4867794,62.05526332,1.131538729
98.97901536,62.0063966,-0.3872689288
321.4712513,61.95760817,-0.2546917434
183.9634873,61.90889761,1.045049637
46.45572321,61.8602645,-0.2965184849
268.9479592,61.81170846,0.5804843733
131.4401951,61.76322908,0.05403263209
353.9324311,61.71482597,-0.3561026248
216.424667,61.66649872,1.257101902
78.91690296,61.61824695,-0.4285512256
301.4091389,61.57007028,-0.03618106188
163.9013749,61.52196832,0.7216456669
26.39361081,61.47394068,-0.2932314677
248.8858468,61.425987,0.9747678877
111.3780827,61.3781069,-0.2887154195
333.8703187,61.33030001,-0.3413237192
196.3625546,61.28256596,1.189751305
58.85479056,61.23490438,-0.3544662884
281.3470265,61.18731492,0.3196018271
143.8392625,61.13979721,0.3057931889
6.331498413,61.09235089,-0.3473062085
228.8237344,61.04497563,1.224306974
91.31597031,60.99767106,-0.4518784587
313.8082063,60.95043683,-0.2057015476
176.3004422,60.90327261,0.94880751
38.79267816,60.85617804,-0.301011652
261.2849141,60.8091528,0.7491621335
123.7771501,60.76219654,-0.1087365864
346.269386,60.71530893,-0.3830459476
208.761622,60.66848964,1.272897422
71.25385791,60.62173833,-0.4288764947
293.7460939,60.57505469,0.07439034105
156.2383298,60.52843839,0.5720041777
18.73056576,60.48188911,-0.3278882855
241.2228017,60.43540653,1.110843019
103.7150377,60.38899032,-0.4013217261
326.2072736,60.34264019,-0.325127731
188.6995096,60.29635581,1.13189326
51.19174551,60.25013689,-0.342337022
273.6839815,60.2039831,0.4820872047
136.1762174,60.15789415,0.1327094538
358.6684534,60.11186973,-0.3881066325
221.1606893,60.06590955,1.286478373
83.65292526,60.02001331,-0.486197677
306.1451612,59.9741807,-0.1308108119
168.6373972,59.92841145,0.8257717888
31.12963311,59.88270525,-0.3183289241
253.6218691,59.83706182,0.9164822685
116.114105,59.79148088,-0.2613610306
338.606341,59.74596213,-0.3955501223
201.0985769,59.70050529,1.257199383
63.59081286,59.65511009,-0.4145122204
286.0830488,59.60977624,0.2116519104
148.5752848,59.56450348,0.4053292402
11.06752071,59.51929152,-0.3703799106
233.5597567,59.47414009,1.221534677
96.05199261,59.42904892,-0.4849871071
318.5442286,59.38401775,-0.2855699523
181.0364645,59.3390463,1.044382383
43.52870046,59.29413432,-0.3378813523
266.0209364,59.24928153,0.658646589
128.5131724,59.20448769,-0.04237183628
351.0054083,59.15975252,-0.4222114949
213.4976443,59.11507578,1.316190628
75.98988021,59.0704572,-0.492970255
298.4821162,59.02589654,-0.02864525725
160.9743521,58.98139354,0.6792306718
23.46658806,58.93694795,-0.3492603451
245.958824,58.89255953,1.070660647
108.45106,58.84822802,-0.3948469794
330.9432959,58.80395319,-0.3887246395
193.4355319,58.75973478,1.21056683
55.92776781,58.71557257,-0.3954378111
278.4200038,58.6714663,0.3732749117
140.9122397,58.62741574,0.2268849297
3.404475661,58.58342065,-0.4153051427
225.8967116,58.5394808,1.300852
88.38894756,58.49559596,-0.5357915388
310.8811835,58.45176589,-0.2204100797
173.3734195,58.40799037,0.9289411811
35.86565541,58.36426916,-0.3470123017
258.3578914,58.32060203,0.8390555695
120.8501273,58.27698877,-0.2115680125
343.3423633,58.23342915,-0.4433273136
205.8345992,58.18992294,1.313579968
68.32683516,58.14646993,-0.4793358125
290.8190711,58.10306989,0.1013387289
153.3113071,58.05972261,0.5133474766
15.80354301,58.01642787,-0.3912238407
238.295779,57.97318546,1.200902791
100.7880149,57.92999516,-0.5006584906
323.2802509,57.88685675,-0.3589629825
185.7724868,57.84377004,1.13383864
48.26472276,57.8007348,-0.3816555043
270.7569587,57.75775083,0.5538420442
133.2491947,57.71481792,0.04261702037
355.7414306,57.67193588,-0.4559852068
218.2336666,57.62910448,1.346333218
80.72590251,57.58632354,-0.5543331559
303.2181385,57.54359285,-0.128139706
165.7103744,57.5009122,0.7882982746
28.20261036,57.4582814,-0.3720250364
250.6948463,57.41570026,1.010867512
113.1870823,57.37316857,-0.3657688534
335.6793182,57.33068614,-0.4459789876
198.1715542,57.28825278,1.279591529
60.66379011,57.24586828,-0.4556049349
283.1560261,57.20353247,0.2582187565
145.648262,57.16124516,0.3328483072
8.14049796,57.11900614,-0.4389152341
230.6327339,57.07681524,1.299474667
93.12496986,57.03467226,-0.5725165469
315.6172058,56.99257702,-0.3039572778
178.1094418,56.95052935,1.028298124
40.60167771,56.90852904,-0.3810794866
263.0939137,56.86657593,0.7441837573
125.5861496,56.82466982,-0.1404103051
348.0783856,56.78281055,-0.4854884633
210.5706215,56.74099793,1.358220327
73.06285746,56.69923178,-0.5462629319
295.5550934,56.65751193,-0.007729655556
158.0473294,56.61583819,0.6261382705
20.53956531,56.57421041,-0.4113495573
243.0318013,56.53262839,1.161605019
105.5240372,56.49109198,-0.4953272006
328.0162732,56.449601,-0.4261210158
190.5085091,56.40815527,1.215213108
53.00074506,56.36675463,-0.4331538377
275.492981,56.32539892,0.4384103253
137.985217,56.28408796,0.1429307515
0.477452909,56.24282158,-0.4853133416
222.9696889,56.20159962,1.362730039
85.46192481,56.16042193,-0.6083434114
307.9541608,56.11928832,-0.2222718287
170.4463967,56.07819865,0.8960754172
32.93863266,56.03715274,-0.3979712911
255.4308686,55.99615045,0.9318392359
117.9231046,55.9551916,-0.3135433545
340.4153405,55.91427605,-0.4976145623
202.9075765,55.87340363,1.337982265
65.39981241,55.83257418,-0.5215149937
287.8920484,55.79178755,0.1410493926
150.3842843,55.75104359,0.4467523308
12.87652026,55.71034214,-0.460083961
235.3687562,55.66968305,1.281348665
97.86099216,55.62906616,-0.5917486356
320.3532281,55.58849133,-0.3812993356
182.8454641,55.5479584,1.121455798
45.33770001,55.50746722,-0.4220163126
267.829936,55.46701765,0.6344642406
130.3221719,55.42660953,-0.05033215682
352.8144079,55.38624273,-0.5228158186
215.3066438,55.34591708,1.390632897
77.79887976,55.30563245,-0.6114976726
300.2911157,55.2653887,-0.1127824159
162.7833517,55.22518567,0.7403223206
25.27558761,55.18502323,-0.4322832601
247.7678236,55.14490123,1.102977019
110.2600595,55.10481953,-0.466688533
332.7522955,55.064778,-0.4876861869
195.2445314,55.02477648,1.287067423
57.73676736,54.98481484,-0.492361168
280.2290033,54.94489295,0.3164951035
142.7212393,54.90501066,0.2547394978
5.213475208,54.86516785,-0.5110304316
227.7057112,54.82536436,1.364567025
90.19794711,54.78560007,-0.6499789077
312.6901831,54.74587484,-0.3102465447
175.182419,54.70618854,0.9998555246
37.67465496,54.66654104,-0.4288251612
260.1668909,54.6269322,0.8347626857
122.6591269,54.58736189,-0.2392413077
345.1513628,54.54782998,-0.5443661784
207.6435988,54.50833634,1.385145725
70.13583471,54.46888084,-0.5906527472
292.6280707,54.42946334,0.0254449572
155.1203066,54.39008374,0.5649432088
17.61254256,54.35074188,-0.4799517652
240.1047785,54.31143766,1.245297445
102.5970145,54.27217093,-0.5896179182
325.0892504,54.23294159,-0.4529205012
187.5814864,54.19374949,1.206505467
50.07372231,54.15459452,-0.4708253468
272.5659583,54.11547656,0.513383171
135.0581942,54.07639548,0.05521007918
357.5504302,54.03735115,-0.5559453592
220.0426661,53.99834347,1.410303511
82.53490206,53.95937229,-0.6703631051
305.027138,53.92043752,-0.2120914097
167.519374,53.88153902,0.8529329323
30.01160991,53.84267668,-0.455621087
252.5038459,53.80385037,1.024828166
114.9960818,53.76505999,-0.4140265357
337.4883178,53.72630541,-0.5444379831
199.9805537,53.68758651,1.348461846
62.47278966,53.64890319,-0.5582252995
284.9650256,53.61025532,0.1923359768
147.4572616,53.5716428,0.3741250366
9.949497506,53.53306549,-0.5338925783
232.4417335,53.4945233,1.350708359
94.93396941,53.45601612,-0.6743404976
317.4262054,53.41754381,-0.3921651601
179.9184413,53.37910629,1.09735137
42.41067726,53.34070342,-0.4661600094
264.9029132,53.30233511,0.72185131
127.3951492,53.26400124,-0.1453893764
349.8873851,53.2257017,-0.5868199188
212.3796211,53.18743639,1.420715981
74.87185701,53.14920519,-0.6593459704
297.364093,53.111008,-0.08574799353
159.8563289,53.07284471,0.6841563039
22.34856486,53.03471521,-0.4997455185
244.8408008,52.9966194,1.190183528
107.3330368,52.95855717,-0.5635110979
329.8252727,52.92052841,-0.5196560723
192.3175087,52.88253302,1.28202837
54.80974461,52.8445709,-0.5277933977
277.3019806,52.80664194,0.3850930303
